Capture Date,Course ID,Trap,Band ID,Recapture,Sex,Age,Immature,Weight,Condition,Leg Band,Wing Band,Tag Status at Capture,Manufacturer_at_Capture,SerialNum_at_Capture,Frequency_at_Capture,Tag Status at Release,Manufacturer_at_Release,SerialNum_at_Release,Frequency_at_Release,Comments,ObjectId,WingChord,Tarsus,RadioSize,bird.id
3/25/2022 8:00,DB,133,220392,No,F,Juvenile,,172,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa2148,162.685,,88,,,,162.685_220392
3/18/2022 8:00,CC,198,220303,No,Male,Juvenile,,175,Bad - Feathers Severely Missing from Body,Right,None,None,,,,None,,,,Secondary’s pulled out,89,,,,_220303
3/25/2022 8:00,DB,139,220376,No,Male,Adult,,180,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa21108,163.481,,90,,,,163.481_220376
4/7/2022 8:00,BJ,167,220575,no,F,Juvenile,,172,Good,Left,none,none,,,,VHF-Pendant,AWE,tta20200,162.148,,91,,,,162.148_220575
3/15/2022 8:00,BJ,168,220068,No,F,Juvenile,,146,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21125,163.697,,92,,,,163.697_220068
3/15/2022 8:00,BJ,168,220069,No,Male,Juvenile,,174,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21171,164.216,,93,,,,164.216_220069
3/15/2022 8:00,BJ,168,214606,No,F,Adult,,161,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21113,163.535,,94,,,,163.535_214606
3/15/2022 8:00,BJ,168,220070,No,F,Juvenile,,170,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21161,164.117,,95,,,,164.117_220070
3/15/2022 8:00,BJ,168,214754,Yes,Male,Juvenile,,182,Moderate - Feathers Missing from Scalp,Right,None,None,,,,VHF-Pendant,AWE,OA21154,164.029,,96,,,,164.029_214754
3/14/2022 8:00,BJ,171,214581,Yes,F,Adult,,183,Good,Right,None,None,,,,VHF-Pendant,AWE,TTA20257,162.913,,97,,,,162.913_214581
3/19/2022 8:00,BB,70,220315,No,Male,Adult,,0,Good,Right,None,None,,,,None,,,,,98,,,,_220315
3/14/2022 8:00,BJ,171,220249,No,Male,Adult,,214,Good,Right,None,None,,,,VHF-Pendant,AWE,TTA20260,162.949,,99,,,,162.949_220249
3/14/2022 8:00,BJ,171,220250,No,F,Adult,,172,Good,Right,None,None,,,,VHF-Pendant,AWE,TTA20262,162.967,,100,,,,162.967_220250
3/13/2022 9:00,BJ,110,220236,No,Male,Juvenile,,186,Moderate - Feathers Missing from Scalp,Right,None,None,,,,None,,,,,101,,,,_220236
3/17/2022 8:00,AC,15,220100,No,Male,Adult,,160,Bad - Scalp Severely Torn,Right,None,None,,,,None,,,,"Held overnight, head scabbed over and more antibiotics put on",102,,,,_220100
12/15/2021 10:00,BJ,,214738,No,F,Juvenile,,172,Good,Left,none,none,,,,VHF-Pendant,AWE,021-17N,162.591,,103,,,,162.591_214738
3/22/2022 8:00,BB,64,220346,No,F,Juvenile,,184,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa2158,162.814,,104,,,,162.814_220346
12/15/2021 10:00,BJ,,214739,No,F,Juvenile,,182,Good,Left,none,none,,,,VHF-Pendant,AWE,021-87,165.674,,105,,,,165.674_214739
12/15/2021 10:00,BJ,,214741,No,Male,Juvenile,,192,Good,Left,none,none,,,,VHF-Pendant,AWE,021-57,164.996,,106,,,,164.996_214741
3/19/2022 8:00,BB,70,220313,No,F,Adult,,170,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa2152,162.742,,107,,,,162.742_220313
12/15/2021 10:00,BJ,,214742,No,Male,Juvenile,,172,Good,Left,none,none,,,,VHF-Pendant,AWE,021-74,165.405,,108,,,,165.405_214742
3/19/2022 8:00,BB,70,220310,No,F,Juvenile,,180,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2143,162.618,,109,,,,162.618_220310
12/15/2021 10:00,BJ,,214747,No,Female,Adult,,180,Good,Left,none,none,,,,VHF-Pendant,AWE,021-88,165.696,,110,,,,165.696_214747
3/19/2022 8:00,BB,70,220311,No,Male,Juvenile,,162,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2180,163.121,,111,,,,163.121_220311
3/20/2022 8:00,AC,16,220323,No,Male,Adult,,174,Good,Right,None,None,,,,None,,,,,112,,,,_220323
3/19/2022 8:00,BB,70,220312,No,Female,Adult,,189,Good,Right,Right,None,,,,VHF-Pendant,AWE,OA21101,163.39,,113,,,,163.390_220312
3/20/2022 8:00,AC,17,220324,No,Male,Juvenile,,136,Good,Right,None,None,,,,None,,,,,114,,,,_220324
3/14/2022 8:00,BJ,106,220248,No,Female,Adult,,168,Good,Right,None,None,,,,None,,,,,115,,,,_220248
12/15/2021 10:00,BJ,,204549,Yes,Male,Adult,,185,Good,Left,none,none,,,,VHF-Pendant,AWE,021-86,165.666,,116,,,,165.666_204549
3/19/2022 8:00,BB,70,220314,No,Male,Adult,,176,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2161,162.85,,117,,,,162.850_220314
12/15/2021 10:00,BJ,,214748,No,Female,Juvenile,,178,Good,Left,none,none,,,,VHF-Pendant,AWE,021-80,165.506,,118,,,,165.506_214748
3/16/2022 8:00,BB,76,220086,No,Female,Juvenile,,175,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa2163,162.751,,119,,,,162.751_220086
12/15/2021 10:00,BJ,,204542,Yes,Female,Adult,,182,Good,Left,none,VHF-Pendant,AWE,,164.573,VHF-Pendant,AWE,021-81,165.513,,120,,,,165.513_204542
3/16/2022 8:00,BB,76,220087,No,Male,Juvenile,,170,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21175,164.258,,121,,,,164.258_220087
12/15/2021 10:00,BJ,,214757,No,Female,Adult,,184,Good,Left,none,none,,,,VHF-Pendant,AWE,021-47,164.685,,122,,,,164.685_214757
3/16/2022 8:00,BB,76,220088,No,Male,Juvenile,,190,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2191,163.255,,123,,,,163.255_220088
12/15/2021 10:00,BJ,,214758,No,Female,Adult,,174,Good,Left,none,none,,,,VHF-Pendant,AWE,021-66,165.221,,124,,,,165.221_214758
3/16/2022 8:00,BB,76,220097,No,Female,Adult,,172,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21127,163.721,,125,,,,163.721_220097
12/15/2021 10:00,BJ,,214760,No,Female,Juvenile,,172,Good,Left,none,none,,,,VHF-Pendant,AWE,021-28,164.173,,126,,,,164.173_214760
3/14/2022 8:00,AC,27,220252,No,Male,Juvenile,,184,Good,Right,None,None,,,,None,,,,,127,,,,_220252
3/20/2022 8:00,CC,213,220332,No,Male,Juvenile,,188,Good,Right,None,None,,,,None,,,,,128,,,,_220332
